v_left,v_right,v_left_real,v_right_real
0.628,3.7680000000000002,-0.0,2.358288445123812
0.628,4.396,-0.0,2.358288445123812
0.628,5.024,-0.0,4.833634015990467
0.628,5.652,-0.0,3.8051965760021678
0.628,6.28,-0.0,6.3678369289491235
1.256,0.0,-0.0,1.8448246688377568
1.256,0.628,-0.0,1.8448246688377568
1.256,1.256,-0.0,1.8448246688377568
1.256,1.8840000000000001,0.0004433797496348256,1.8448246688377568
1.256,2.512,0.0004433797496348256,1.8448246688377568
1.256,3.14,0.0004433797496348256,1.8448246688377568
1.256,3.7680000000000002,0.0004433797496348256,1.8448246688377568
1.256,4.396,0.0004433797496348256,1.8448246688377568
1.256,5.024,0.0004433797496348256,0.7464279488819402
1.256,5.652,0.0004433797496348256,0.7464279488819402
1.256,6.28,0.0004433797496348256,6.332720198282382
1.8840000000000001,0.0,1.3716313897109613,1.894131666276513
1.8840000000000001,0.628,1.3716313897109613,1.894131666276513
1.8840000000000001,1.256,1.3716313897109613,1.894131666276513
1.8840000000000001,1.8840000000000001,1.3716313897109613,1.894131666276513
1.8840000000000001,2.512,1.3716313897109613,1.894131666276513
1.8840000000000001,3.14,1.3716313897109613,1.894131666276513
1.8840000000000001,3.7680000000000002,1.3716313897109613,1.894131666276513
1.8840000000000001,4.396,1.3716313897109613,4.805510509304884
1.8840000000000001,5.024,1.8672341253699327,5.656835509509575
1.8840000000000001,5.652,2.6178313464653202,4.106143625771128
1.8840000000000001,6.28,2.8527745386449306,6.150488737152845
2.512,0.0,1.339107170337584,1.4570101005275076
2.512,0.628,1.339107170337584,1.4570101005275076
2.512,1.256,1.339107170337584,1.4570101005275076
2.512,1.8840000000000001,1.339107170337584,1.4570101005275076
2.512,2.512,1.339107170337584,1.4570101005275076
2.512,3.14,0.0022467681513417786,0.24168460470874137
2.512,3.7680000000000002,0.0022467681513417786,0.24168460470874137
2.512,4.396,0.0022467681513417786,0.24168460470874137
2.512,5.024,0.0022467681513417786,0.24168460470874137
2.512,5.652,0.0022467681513417786,0.24168460470874137
2.512,6.28,4.626948368258593,6.38478209332722
3.14,0.0,1.9890420320557387,1.5406387608225753
3.14,0.628,1.9890420320557387,1.5406387608225753
3.14,1.256,1.9890420320557387,1.5406387608225753
3.14,1.8840000000000001,1.9890420320557387,0.0037954027037613277
3.14,2.512,1.9890420320557387,0.0037954027037613277
3.14,3.14,1.9890420320557387,0.005416707249312866
3.14,3.7680000000000002,1.9890420320557387,0.011696707366443262
3.14,4.396,1.9890420320557387,0.011696707366443262
3.14,5.024,4.1148540450305475,3.6266867707415327
3.14,5.652,5.884362430107303,4.891219953211342
3.14,6.28,5.954334212512505,6.362160240731589
3.7680000000000002,0.0,1.4059008621587987,1.6801168278950018
3.7680000000000002,0.628,1.4059008621587987,1.6801168278950018
3.7680000000000002,1.256,1.4059008621587987,0.005393588302157274
3.7680000000000002,1.8840000000000001,1.4059008621587987,0.005393588302157274
3.7680000000000002,2.512,1.4059008621587987,0.5991195033236248
3.7680000000000002,3.14,1.4059008621587987,0.5991195033236248
3.7680000000000002,3.7680000000000002,1.4059008621587987,0.5991195033236248
3.7680000000000002,4.396,1.4059008621587987,0.5991195033236248
3.7680000000000002,5.024,1.4059008621587987,3.999690893219739
3.7680000000000002,5.652,3.74129923378549,4.770812755677759
3.7680000000000002,6.28,4.025083925665879,6.4490469490609525
v_left,v_right,v_left_real,v_right_real
0.0,0.0,-0.0,0.0
0.0,0.628,-0.0,0.0
0.0,1.256,-0.0,0.0
0.0,1.8840000000000001,-0.0,0.0
0.0,2.512,-0.0,0.0
0.0,3.14,-0.0,0.0
0.0,3.7680000000000002,-0.0,0.001945338785512055
0.0,4.396,-0.0,0.001945338785512055
0.0,5.024,-0.0,0.0046953766197874785
0.0,5.652,-0.0,0.0046953766197874785
0.0,6.28,-0.0,6.170614754281393
0.628,0.0,-0.0,2.358288445123812
0.628,0.628,-0.0,2.358288445123812
0.628,1.256,-0.0,2.358288445123812
0.628,1.8840000000000001,-0.0,2.358288445123812
0.628,2.512,-0.0,2.358288445123812
0.628,3.14,-0.0,2.358288445123812
0.628,3.7680000000000002,-0.0,2.358288445123812
0.628,4.396,-0.0,2.358288445123812
0.628,5.024,-0.0,4.833634015990467
0.628,5.652,-0.0,3.8051965760021678
0.628,6.28,-0.0,6.3678369289491235
1.256,0.0,-0.0,1.8448246688377568
1.256,0.628,-0.0,1.8448246688377568
1.256,1.256,-0.0,1.8448246688377568
1.256,1.8840000000000001,0.0004433797496348256,1.8448246688377568
1.256,2.512,0.0004433797496348256,1.8448246688377568
1.256,3.14,0.0004433797496348256,1.8448246688377568
1.256,3.7680000000000002,0.0004433797496348256,1.8448246688377568
1.256,4.396,0.0004433797496348256,1.8448246688377568
1.256,5.024,0.0004433797496348256,0.7464279488819402
1.256,5.652,0.0004433797496348256,0.7464279488819402
1.256,6.28,0.0004433797496348256,6.332720198282382
1.8840000000000001,0.0,1.3716313897109613,1.894131666276513
1.8840000000000001,0.628,1.3716313897109613,1.894131666276513
1.8840000000000001,1.256,1.3716313897109613,1.894131666276513
1.8840000000000001,1.8840000000000001,1.3716313897109613,1.894131666276513
1.8840000000000001,2.512,1.3716313897109613,1.894131666276513
1.8840000000000001,3.14,1.3716313897109613,1.894131666276513
1.8840000000000001,3.7680000000000002,1.3716313897109613,1.894131666276513
1.8840000000000001,4.396,1.3716313897109613,4.805510509304884
1.8840000000000001,5.024,1.8672341253699327,5.656835509509575
1.8840000000000001,5.652,2.6178313464653202,4.106143625771128
1.8840000000000001,6.28,2.8527745386449306,6.150488737152845
2.512,0.0,1.339107170337584,1.4570101005275076
2.512,0.628,1.339107170337584,1.4570101005275076
2.512,1.256,1.339107170337584,1.4570101005275076
2.512,1.8840000000000001,1.339107170337584,1.4570101005275076
2.512,2.512,1.339107170337584,1.4570101005275076
2.512,3.14,0.0022467681513417786,0.24168460470874137
2.512,3.7680000000000002,0.0022467681513417786,0.24168460470874137
2.512,4.396,0.0022467681513417786,0.24168460470874137
2.512,5.024,0.0022467681513417786,0.24168460470874137
2.512,5.652,0.0022467681513417786,0.24168460470874137
2.512,6.28,4.626948368258593,6.38478209332722
3.14,0.0,1.9890420320557387,1.5406387608225753
3.14,0.628,1.9890420320557387,1.5406387608225753
3.14,1.256,1.9890420320557387,1.5406387608225753
3.14,1.8840000000000001,1.9890420320557387,0.0037954027037613277
3.14,2.512,1.9890420320557387,0.0037954027037613277
3.14,3.14,1.9890420320557387,0.005416707249312866
3.14,3.7680000000000002,1.9890420320557387,0.011696707366443262
3.14,4.396,1.9890420320557387,0.011696707366443262
3.14,5.024,4.1148540450305475,3.6266867707415327
3.14,5.652,5.884362430107303,4.891219953211342
3.14,6.28,5.954334212512505,6.362160240731589
3.7680000000000002,0.0,1.4059008621587987,1.6801168278950018
3.7680000000000002,0.628,1.4059008621587987,1.6801168278950018
3.7680000000000002,1.256,1.4059008621587987,0.005393588302157274
3.7680000000000002,1.8840000000000001,1.4059008621587987,0.005393588302157274
3.7680000000000002,2.512,1.4059008621587987,0.5991195033236248
3.7680000000000002,3.14,1.4059008621587987,0.5991195033236248
3.7680000000000002,3.7680000000000002,1.4059008621587987,0.5991195033236248
3.7680000000000002,4.396,1.4059008621587987,0.5991195033236248
3.7680000000000002,5.024,1.4059008621587987,3.999690893219739
3.7680000000000002,5.652,3.74129923378549,4.770812755677759
3.7680000000000002,6.28,4.025083925665879,6.4490469490609525
4.396,0.0,3.977681950825017,2.576795438440835
4.396,0.628,4.545629024505615,2.576795438440835
4.396,1.256,3.1708118392200006,0.015648931446598797
4.396,1.8840000000000001,3.1708118392200006,0.00717355642558598
4.396,2.512,3.1708118392200006,0.00717355642558598
4.396,3.14,0.6057569893395028,0.13436411575573248
4.396,3.7680000000000002,0.6057569893395028,0.13436411575573248
4.396,4.396,0.6057569893395028,0.006762115148509422
4.396,5.024,3.6114175145219014,4.252781228321354
4.396,5.652,4.34301800844146,4.979397029411502
4.396,6.28,4.725444607618379,4.95473291815781
v_left,v_right,v_left_real,v_right_real
0.0,0.0,-0.0,0.0
0.0,0.628,-0.0,0.0
0.0,1.256,-0.0,0.0
0.0,1.8840000000000001,-0.0,0.0
0.0,2.512,-0.0,0.0
0.0,3.14,-0.0,0.0
0.0,3.7680000000000002,-0.0,0.001945338785512055
0.0,4.396,-0.0,0.001945338785512055
0.0,5.024,-0.0,0.0046953766197874785
0.0,5.652,-0.0,0.0046953766197874785
0.0,6.28,-0.0,6.170614754281393
0.628,0.0,-0.0,2.358288445123812
0.628,0.628,-0.0,2.358288445123812
0.628,1.256,-0.0,2.358288445123812
0.628,1.8840000000000001,-0.0,2.358288445123812
0.628,2.512,-0.0,2.358288445123812
0.628,3.14,-0.0,2.358288445123812
0.628,3.7680000000000002,-0.0,2.358288445123812
0.628,4.396,-0.0,2.358288445123812
0.628,5.024,-0.0,4.833634015990467
0.628,5.652,-0.0,3.8051965760021678
0.628,6.28,-0.0,6.3678369289491235
1.256,0.0,-0.0,1.8448246688377568
1.256,0.628,-0.0,1.8448246688377568
1.256,1.256,-0.0,1.8448246688377568
1.256,1.8840000000000001,0.0004433797496348256,1.8448246688377568
1.256,2.512,0.0004433797496348256,1.8448246688377568
1.256,3.14,0.0004433797496348256,1.8448246688377568
1.256,3.7680000000000002,0.0004433797496348256,1.8448246688377568
1.256,4.396,0.0004433797496348256,1.8448246688377568
1.256,5.024,0.0004433797496348256,0.7464279488819402
1.256,5.652,0.0004433797496348256,0.7464279488819402
1.256,6.28,0.0004433797496348256,6.332720198282382
1.8840000000000001,0.0,1.3716313897109613,1.894131666276513
1.8840000000000001,0.628,1.3716313897109613,1.894131666276513
1.8840000000000001,1.256,1.3716313897109613,1.894131666276513
1.8840000000000001,1.8840000000000001,1.3716313897109613,1.894131666276513
1.8840000000000001,2.512,1.3716313897109613,1.894131666276513
1.8840000000000001,3.14,1.3716313897109613,1.894131666276513
1.8840000000000001,3.7680000000000002,1.3716313897109613,1.894131666276513
1.8840000000000001,4.396,1.3716313897109613,4.805510509304884
1.8840000000000001,5.024,1.8672341253699327,5.656835509509575
1.8840000000000001,5.652,2.6178313464653202,4.106143625771128
1.8840000000000001,6.28,2.8527745386449306,6.150488737152845
2.512,0.0,1.339107170337584,1.4570101005275076
2.512,0.628,1.339107170337584,1.4570101005275076
2.512,1.256,1.339107170337584,1.4570101005275076
2.512,1.8840000000000001,1.339107170337584,1.4570101005275076
2.512,2.512,1.339107170337584,1.4570101005275076
2.512,3.14,0.0022467681513417786,0.24168460470874137
2.512,3.7680000000000002,0.0022467681513417786,0.24168460470874137
2.512,4.396,0.0022467681513417786,0.24168460470874137
2.512,5.024,0.0022467681513417786,0.24168460470874137
2.512,5.652,0.0022467681513417786,0.24168460470874137
2.512,6.28,4.626948368258593,6.38478209332722
3.14,0.0,1.9890420320557387,1.5406387608225753
3.14,0.628,1.9890420320557387,1.5406387608225753
3.14,1.256,1.9890420320557387,1.5406387608225753
3.14,1.8840000000000001,1.9890420320557387,0.0037954027037613277
3.14,2.512,1.9890420320557387,0.0037954027037613277
3.14,3.14,1.9890420320557387,0.005416707249312866
3.14,3.7680000000000002,1.9890420320557387,0.011696707366443262
3.14,4.396,1.9890420320557387,0.011696707366443262
3.14,5.024,4.1148540450305475,3.6266867707415327
3.14,5.652,5.884362430107303,4.891219953211342
3.14,6.28,5.954334212512505,6.362160240731589
3.7680000000000002,0.0,1.4059008621587987,1.6801168278950018
3.7680000000000002,0.628,1.4059008621587987,1.6801168278950018
3.7680000000000002,1.256,1.4059008621587987,0.005393588302157274
3.7680000000000002,1.8840000000000001,1.4059008621587987,0.005393588302157274
3.7680000000000002,2.512,1.4059008621587987,0.5991195033236248
3.7680000000000002,3.14,1.4059008621587987,0.5991195033236248
3.7680000000000002,3.7680000000000002,1.4059008621587987,0.5991195033236248
3.7680000000000002,4.396,1.4059008621587987,0.5991195033236248
3.7680000000000002,5.024,1.4059008621587987,3.999690893219739
3.7680000000000002,5.652,3.74129923378549,4.770812755677759
3.7680000000000002,6.28,4.025083925665879,6.4490469490609525
4.396,0.0,3.977681950825017,2.576795438440835
4.396,0.628,4.545629024505615,2.576795438440835
4.396,1.256,3.1708118392200006,0.015648931446598797
4.396,1.8840000000000001,3.1708118392200006,0.00717355642558598
4.396,2.512,3.1708118392200006,0.00717355642558598
4.396,3.14,0.6057569893395028,0.13436411575573248
4.396,3.7680000000000002,0.6057569893395028,0.13436411575573248
4.396,4.396,0.6057569893395028,0.006762115148509422
4.396,5.024,3.6114175145219014,4.252781228321354
4.396,5.652,4.34301800844146,4.979397029411502
4.396,6.28,4.725444607618379,4.95473291815781
5.024,0.0,4.1340825034350885,1.191271877870327
5.024,0.628,4.000296243807165,1.191271877870327
5.024,1.256,4.084962461052871,1.191271877870327
5.024,1.8840000000000001,4.491506262523372,0.7258004531627749
5.024,2.512,3.7337015314799986,0.7258004531627749
5.024,3.14,4.212031422591791,4.658089032987269
5.024,3.7680000000000002,4.591330377067008,6.171154975891113
5.024,4.396,4.980159387355898,4.168928832542606
5.024,5.024,4.7497002089895854,4.335003945885635
5.024,5.652,4.85979783825758,4.890654145217524
5.024,6.28,5.267111266531596,6.103285929051841
v_left,v_right,v_left_real,v_right_real
0.0,0.0,-0.0,0.0
0.0,0.628,-0.0,0.0
0.0,1.256,-0.0,0.0
0.0,1.8840000000000001,-0.0,0.0
0.0,2.512,-0.0,0.0
0.0,3.14,-0.0,0.0
0.0,3.7680000000000002,-0.0,0.001945338785512055
0.0,4.396,-0.0,0.001945338785512055
0.0,5.024,-0.0,0.0046953766197874785
0.0,5.652,-0.0,0.0046953766197874785
0.0,6.28,-0.0,6.170614754281393
0.628,0.0,-0.0,2.358288445123812
0.628,0.628,-0.0,2.358288445123812
0.628,1.256,-0.0,2.358288445123812
0.628,1.8840000000000001,-0.0,2.358288445123812
0.628,2.512,-0.0,2.358288445123812
0.628,3.14,-0.0,2.358288445123812
0.628,3.7680000000000002,-0.0,2.358288445123812
0.628,4.396,-0.0,2.358288445123812
0.628,5.024,-0.0,4.833634015990467
0.628,5.652,-0.0,3.8051965760021678
0.628,6.28,-0.0,6.3678369289491235
1.256,0.0,-0.0,1.8448246688377568
1.256,0.628,-0.0,1.8448246688377568
1.256,1.256,-0.0,1.8448246688377568
1.256,1.8840000000000001,0.0004433797496348256,1.8448246688377568
1.256,2.512,0.0004433797496348256,1.8448246688377568
1.256,3.14,0.0004433797496348256,1.8448246688377568
1.256,3.7680000000000002,0.0004433797496348256,1.8448246688377568
1.256,4.396,0.0004433797496348256,1.8448246688377568
1.256,5.024,0.0004433797496348256,0.7464279488819402
1.256,5.652,0.0004433797496348256,0.7464279488819402
1.256,6.28,0.0004433797496348256,6.332720198282382
1.8840000000000001,0.0,1.3716313897109613,1.894131666276513
1.8840000000000001,0.628,1.3716313897109613,1.894131666276513
1.8840000000000001,1.256,1.3716313897109613,1.894131666276513
1.8840000000000001,1.8840000000000001,1.3716313897109613,1.894131666276513
1.8840000000000001,2.512,1.3716313897109613,1.894131666276513
1.8840000000000001,3.14,1.3716313897109613,1.894131666276513
1.8840000000000001,3.7680000000000002,1.3716313897109613,1.894131666276513
1.8840000000000001,4.396,1.3716313897109613,4.805510509304884
1.8840000000000001,5.024,1.8672341253699327,5.656835509509575
1.8840000000000001,5.652,2.6178313464653202,4.106143625771128
1.8840000000000001,6.28,2.8527745386449306,6.150488737152845
2.512,0.0,1.339107170337584,1.4570101005275076
2.512,0.628,1.339107170337584,1.4570101005275076
